,min_dist_GM12878,min_dist_H1ESC,quartile_cat_GM12878,quartile_cat_H1ESC,log2FoldChange,padj
ENSG00000231999,0.28670302,18.929502,small,mid,-2.10708571448465,0.004431373541869382
ENSG00000099992,0.42309678,8.191736,small,large,-2.4084534313931787,2.0844477660714998e-30
ENSG00000134802,0.32913673,4.066538,small,mid,-2.6969905320519145,2.1037091310049183e-135
ENSG00000147509,1.2393353,4.5991817,small,mid,-3.156754963724662,7.705577333766949e-09
ENSG00000266865,0.24470764,3.915581,small,mid,-2.4587424185805045,6.736466708881693e-06
ENSG00000227070,0.8169093,8.279712,small,mid,-6.437999024616503,0.011187598542100217
ENSG00000167723,0.09814462,6.2811756,small,large,-3.1959325741508535,1.7938030724465658e-25
ENSG00000181035,0.3563398,3.9148126,small,large,-2.4182382295051235,9.159482392220758e-48
ENSG00000252391,0.24858673,1.4176232,small,mid,-2.9982888442773143,0.002476228531344732
ENSG00000076641,0.8647403,16.950289,small,large,-8.639841433371945,7.990306605903421e-164
ENSG00000140577,0.3319005,6.9638405,small,large,-3.1592005732657396,8.264204843606587e-167
ENSG00000253125,1.3567806,6.1014085,small,mid,-10.599170174567673,5.122905620530343e-05
ENSG00000171608,1.0205323,7.406763,small,mid,-2.5015074315534,8.222388217029134e-258
ENSG00000135605,0.4175005,17.863747,small,mid,-3.622047364399542,1.2028774659527268e-94
ENSG00000224220,0.2305065,6.1195354,small,mid,-9.084649138353274,2.3822960587442753e-10
ENSG00000277851,0.30189753,15.906639,small,large,-6.516058722481836,0.010427990851851988
ENSG00000187510,0.32895988,8.335087,small,mid,-8.015931459848897,0.0019823997921760393
ENSG00000077420,0.6249047,15.104347,small,large,-10.640328859136151,5.643132824008564e-37
ENSG00000130429,0.84677714,4.1921616,small,mid,-2.5631420458761136,6.595066034413088e-45
ENSG00000221963,0.3605738,5.049526,small,large,-7.3252928725234865,7.670192782196881e-154
ENSG00000196684,0.7708783,0.9604702,small,mid,-7.040528363489006,9.515003127869234e-154
ENSG00000247121,0.3644693,14.416758,small,mid,-3.6705606592625126,6.17050440110203e-13
ENSG00000114480,0.49029008,19.285574,small,mid,-2.9855861855730454,5.564760329156299e-141
ENSG00000137449,0.9869385,15.953885,small,mid,-2.765486589835237,8.578815153913976e-53
ENSG00000160216,0.529048,6.1430144,small,large,-4.48635696934822,0.0
ENSG00000151093,0.21788865,8.313338,small,mid,-3.15230046028681,8.918444471569872e-26
ENSG00000176472,0.36409923,2.1749325,small,mid,-4.400052122355065,3.666081825560662e-06
ENSG00000100647,0.7851544,2.0381913,small,mid,-3.3680431763561,6.697273044691087e-212
ENSG00000120949,1.6771579,6.6265283,small,mid,-2.1594173275992277,4.0311333109303874e-200
ENSG00000258760,0.27860215,7.932243,small,large,-8.918587534534092,0.0006158215744845703
ENSG00000109320,0.954002,19.592958,small,mid,-4.299383992211272,0.0
ENSG00000129993,0.6584901,18.933826,small,large,-4.8107473674176005,9.449908305191199e-43
ENSG00000259248,0.6716494,2.898227,small,mid,-2.1883824737924704,0.00010206844329031175
ENSG00000144746,0.6033572,5.6348195,small,mid,-2.0162855039912886,4.0867172900680975e-121
ENSG00000205593,0.20990154,6.6170464,small,large,-4.44286075568701,4.261077990225244e-85
ENSG00000179583,0.90821207,12.22991,small,large,-9.818815795763262,1.9830381237024783e-119
ENSG00000162643,1.5009712,13.420155,small,mid,-3.383760237428115,1.3251135812740563e-11
ENSG00000162924,0.33687,15.6274805,small,mid,-3.1424605476061576,6.100804824416569e-238
ENSG00000271554,2.5289178,7.157819,small,mid,-4.172953586936492,0.003457060656659288
ENSG00000069943,0.34503442,8.493924,small,large,-2.282473805376372,1.2685158303162892e-27
ENSG00000100351,0.4681507,8.312904,small,large,-11.652701814216199,5.007364684020751e-16
ENSG00000265458,0.5833975,2.7386692,small,mid,-2.1254218121545034,0.0013773112248812766
ENSG00000126860,0.48826653,10.823059,small,large,-11.202709361099851,1.7334302942108597e-05
ENSG00000213965,0.21137474,4.8669815,small,large,-2.9975169602815344,5.87406714617193e-69
ENSG00000152133,1.2016367,14.86875,small,mid,-2.5008797066503567,2.2439110885442044e-55
ENSG00000115325,2.5910108,6.430002,small,mid,-2.9595840235247812,1.5392070804392098e-148
ENSG00000168404,0.56985015,1.5498828,small,mid,-3.092133233720561,1.095043926917337e-39
ENSG00000100055,0.6039763,6.573495,small,large,-9.60563021045596,7.089226433681793e-21
ENSG00000247982,0.31335625,1.1800953,small,mid,-4.869484271933642,1.0591640365237402e-66
ENSG00000183454,0.96424454,2.7663343,small,mid,-3.7875347243689017,5.632565677111441e-172
ENSG00000248309,0.1739465,10.7719145,small,mid,-3.353368135342245,1.7521544612279603e-16
ENSG00000148053,2.1467538,4.3019643,small,mid,-3.515816300629824,1.3182428730857695e-07
ENSG00000089639,0.7690087,1.0619084,small,mid,-2.227406989296101,3.7024659329786327e-143
ENSG00000197943,0.74214673,1.1889938,small,mid,-5.525116346095187,0.0
ENSG00000136842,0.4359097,7.52495,small,mid,-5.228656980947218,1.4389608051941453e-150
ENSG00000042286,0.64219475,5.419608,small,mid,-2.9517428516759003,9.264035872032499e-81
ENSG00000173432,0.48224986,5.827706,small,mid,-7.739134398990461,0.0027744145278797393
ENSG00000141293,0.7404272,8.124284,small,large,-12.443415586116487,2.065434336014877e-06
ENSG00000126391,0.7422134,5.1265254,small,mid,-2.0645848847497863,1.8514176383502407e-108
ENSG00000134470,0.51265025,7.2948046,small,mid,-3.7727470507660246,5.438245445766377e-26
ENSG00000233080,0.95352346,4.020743,small,large,-4.326393770330951,0.0001104049383238048
ENSG00000110031,1.2955501,4.1412864,small,mid,-7.257037892931632,1.2476368018128076e-235
ENSG00000141506,0.43012342,8.265791,small,large,-3.884071903051027,9.345298052474794e-236
ENSG00000237181,0.45237055,6.987984,small,mid,-9.705158547270731,0.00020185723191926176
ENSG00000113532,0.392605,51.787045,small,mid,-5.966077706623799,5.135078035997732e-113
ENSG00000104432,0.26030904,9.791257,small,mid,-5.3072698651372905,5.002703960914277e-09
ENSG00000167984,0.3132204,2.3564718,small,mid,-6.6610966638619455,1.7151384192864835e-99
ENSG00000006062,0.88480043,1.4189202,small,mid,-2.5954300949006157,2.887026073186348e-125
ENSG00000185760,0.8896021,4.234802,small,mid,-2.4372890188381855,1.5798218565960417e-24
ENSG00000228903,1.6652808,8.5428915,small,mid,-3.35167142552989,1.4157561372853338e-13
ENSG00000106153,0.0073632817,3.5752184,small,mid,-2.9213327611256226,0.0
ENSG00000229368,0.1867788,4.709246,small,mid,-2.439118716047848,2.6933670677692855e-06
ENSG00000180628,0.2545905,17.618807,small,large,-4.262453588159783,1.6335745602631983e-230
ENSG00000131979,0.23475565,2.0952027,small,mid,-2.5472071829429273,4.547299132470656e-81
ENSG00000162882,1.4028354,7.4931655,small,mid,-4.238442915462418,2.3438711586252007e-76
ENSG00000164430,1.3087975,11.82236,small,mid,-2.218752393107512,7.396078899833043e-67
ENSG00000146112,0.5236465,4.377051,small,mid,-2.2772693995678552,2.6319115775044933e-174
ENSG00000027075,0.36998117,9.155732,small,large,-3.03143969536751,9.297231294698701e-111
ENSG00000171132,1.4213845,11.879808,small,mid,-4.0420699951375685,2.635437917697555e-131
ENSG00000095585,1.0438073,7.161663,small,mid,-11.860675641023043,1.532490445108667e-16
ENSG00000281501,0.3254286,4.980913,small,mid,-2.395418939110198,1.9390109687331445e-05
ENSG00000137491,0.82817453,10.122561,small,large,-4.351980845366643,9.783792435209406e-05
ENSG00000133328,0.33828682,8.3474455,small,large,-3.6821208525873375,7.128735563613514e-07
ENSG00000164916,0.7212419,12.4420805,small,mid,-2.2876580040816803,8.32564874899951e-214
ENSG00000167483,0.41803932,2.6885147,small,mid,-7.894863267184661,4.330473965029978e-105
ENSG00000205056,0.3548883,27.763708,small,large,-5.204059803951777,1.1657314202732267e-23
ENSG00000112561,0.67669344,7.8151135,small,mid,-5.567871242228285,1.1418510298799652e-226
ENSG00000247287,0.5132806,35.176193,small,large,-3.2180399360026213,0.00426334632828192
ENSG00000169413,0.68841845,2.0204673,small,mid,-7.7163813178373815,9.489094925973306e-14
ENSG00000275074,0.27744895,7.2914186,small,mid,-4.008224705362148,2.115770224363742e-40
ENSG00000259712,0.25301996,8.292984,small,large,-7.792315471575515,0.0026256972266858344
ENSG00000137265,1.9610112,4.1419134,small,mid,-8.06011826986026,0.0
ENSG00000183011,0.31848985,7.544107,small,large,-2.383562874603788,4.2596671736115034e-55
ENSG00000100628,0.44274154,3.8801985,small,mid,-5.945327774794045,9.037693581671665e-122
ENSG00000232124,0.22258377,3.5051403,small,mid,-6.13751684294008,0.014880591450537453
ENSG00000139193,0.22190714,6.309795,small,mid,-9.737398615228967,9.252060742385756e-41
ENSG00000175567,0.33558056,3.5146227,small,mid,-2.6787568362643324,6.172089786808176e-216
ENSG00000205683,0.7082503,1.4697932,small,mid,-4.555694076640663,1.838161573489386e-15
ENSG00000198399,0.4201858,9.958363,small,mid,-2.37461697841635,3.778600708499215e-176
ENSG00000163947,3.264489,5.5024877,small,mid,-4.279038174104619,5.071118129052683e-298
ENSG00000127124,0.28159758,18.14844,small,mid,-5.790216035210041,7.167255986769913e-180
ENSG00000258561,0.386119,3.785951,small,mid,-3.1949776681524966,0.0001524912935752615
ENSG00000136048,0.29725793,11.562255,small,mid,-2.6999909768705015,1.882751189003896e-92
ENSG00000124151,0.2880435,8.09676,small,large,-2.39125074963318,0.0
ENSG00000100911,0.3716451,2.9401376,small,mid,-2.5980155729933676,1.1963475771994224e-241
ENSG00000104894,0.43976924,1.8857433,small,mid,-11.06409120068272,1.8660493352006062e-52
ENSG00000132274,0.5986496,4.774834,small,mid,-2.3480593197086423,6.455749012085318e-200
ENSG00000167323,0.1867788,4.709246,small,mid,-2.677496744205653,1.6473789175605785e-184
ENSG00000264739,0.50100255,1.505533,small,mid,-6.256353546950197,0.013231505109946279
ENSG00000259003,0.1506814,2.1286554,small,mid,-3.45192364008544,0.0024447492578629727
ENSG00000259772,0.42128497,2.8356278,small,mid,-7.570895783482538,7.140349811055059e-19
ENSG00000105810,0.24017851,4.307659,small,mid,-2.833154761763143,0.0
ENSG00000115317,1.004881,6.3655615,small,mid,-2.033099765686143,2.289039291673703e-65
ENSG00000105122,0.23190527,8.717847,small,large,-9.242555780837646,1.871907749709438e-88
ENSG00000240527,0.2499688,1.9015845,small,mid,-6.405578962962289,9.395456365120862e-06
ENSG00000226791,1.4119191,20.280437,small,mid,-5.593490664172896,0.023321089302366527
ENSG00000122012,3.5596383,18.907177,small,mid,-3.1305043022294288,4.277349921343043e-14
ENSG00000275410,0.90099627,6.9579754,small,large,-4.715677038770525,5.798614660682575e-12
ENSG00000100299,0.31320974,4.22489,small,large,-2.0206104082218395,2.4809161594828967e-38
ENSG00000162542,0.5036255,14.331979,small,mid,-2.6517485125295113,2.744816920837408e-49
ENSG00000148935,1.1519662,16.447664,small,large,-4.935318214385461,2.180407714706945e-65
ENSG00000164307,3.581419,14.559705,small,mid,-2.84648563271181,6.435006626863144e-245
ENSG00000164776,0.09527451,3.5716524,small,mid,-2.088327704070911,0.012325034654011096
ENSG00000126353,0.7697147,2.2541647,small,mid,-10.919295733398297,4.1130214786114026e-75
ENSG00000068724,1.665051,7.5312586,small,mid,-2.0279427095732188,1.6526738386238088e-113
ENSG00000076662,0.36153638,2.2323356,small,mid,-3.834380370137812,3.1261820530180376e-281
ENSG00000230155,0.4957143,8.059441,small,large,-6.026125099277974,3.213627313991864e-05
ENSG00000142227,0.3827068,4.0509257,small,large,-3.2806214039313497,1.1873612522177014e-124
ENSG00000153898,0.712531,13.106581,small,mid,-4.533304433753206,7.72141096178591e-296
ENSG00000123146,0.63804686,2.1580446,small,mid,-5.510245341412882,1.7527314380259336e-57
ENSG00000198833,0.43990996,5.0715795,small,mid,-2.964802221577847,0.0
ENSG00000264278,0.71584666,8.066381,small,large,-3.394714221718345,1.1288642339608555e-08
ENSG00000081189,0.3722724,10.576551,small,mid,-8.21398211460701,0.0
ENSG00000105928,0.7194208,9.025744,small,mid,-4.428460965200622,0.0
ENSG00000168685,3.0381691,15.037829,small,mid,-5.318750029135281,4.484627129158656e-09
ENSG00000072818,0.39744553,1.220249,small,mid,-2.6805094167139876,6.751594880538047e-253
ENSG00000256039,1.058906,8.430693,small,mid,-13.168743455568078,5.142972278264159e-07
ENSG00000200502,0.8528608,15.730211,small,mid,-2.674729887114934,0.001662220599936367
ENSG00000253824,0.48786724,12.109175,small,mid,-3.5507658734183645,0.010100532449711212
ENSG00000172349,1.04196,11.459409,small,large,-8.915255149488866,4.875902754170185e-66
ENSG00000066336,0.6642886,2.3575222,small,mid,-8.86063339111453,6.142720306251418e-18
ENSG00000102879,0.4725163,12.828857,small,large,-7.156600465137598,0.0
ENSG00000131378,1.57919,8.458765,small,mid,-5.1924115429766475,0.0
ENSG00000177453,2.7717853,15.222796,small,mid,-4.4518935235951975,6.475844907895151e-05
ENSG00000118308,0.33793718,3.9879336,small,mid,-11.665549937588073,3.406234603611143e-44
ENSG00000254777,0.19198085,6.692396,small,mid,-7.457155044475386,0.0038375169700810017
ENSG00000112799,1.005507,9.404235,small,mid,-13.382827186508248,3.3297562716803024e-07
ENSG00000221887,0.5472144,7.1025567,small,large,-3.374353010334673,1.8246555469631594e-41
ENSG00000131401,0.76170176,4.0444717,small,large,-12.741545740491423,7.830676328942151e-19
ENSG00000108639,0.6285798,3.2350762,small,mid,-3.101174613874277,0.0
